"","iso2c","value","escalado","year"
"1","1A",3403.93055796039,-0.0251247827161782,1980
"2","1A",3437.11565489537,0.0318552771010922,1981
"3","1A",3211.6327548442,-0.355307344658327,1982
"4","1A",3027.2561090521,-0.671888981491444,1983
"5","1A",2979.88904179858,-0.753220017852808,1984
"6","1A",2873.03797128365,-0.936687325524355,1985
"7","1A",2802.39547173059,-1.05798315473533,1986
"8","1A",2727.57353681942,-1.18645523168106,1987
"9","1A",2768.69996786613,-1.11583960245136,1988
"10","1A",2746.36355132413,-1.15419206992072,1989
"11","1A",2907.40530780265,-0.877677315867017,1990
"12","1A",2867.29830453219,-0.946542549255363,1991
"13","1A",2952.94447782822,-0.799484847809144,1992
"14","1A",2980.51958060479,-0.752137359002501,1993
"15","1A",3007.39513800655,-0.705991015920387,1994
"16","1A",2995.86267130568,-0.725792695082083,1995
"17","1A",3068.56731408864,-0.600956088370244,1996
"18","1A",3129.30320596006,-0.496670277222262,1997
"19","1A",3207.79291898613,-0.361900487276232,1998
"20","1A",3210.6277275342,-0.357033014357409,1999
"21","1A",3299.84217207492,-0.203848456950364,2000
"22","1A",3307.01865507442,-0.191526165670325,2001
"23","1A",3295.6323015493,-0.211076963012673,2002
"24","1A",3393.89950240493,-0.0423484824600834,2003
"25","1A",3623.50990801462,0.351901221614672,2004
"26","1A",3763.07128613493,0.591533357963614,2005
"27","1A",3941.97398862499,0.898716028224545,2006
"28","1A",4069.82721985097,1.11824483591076,2007
"29","1A",4224.9855068441,1.38465745152963,2008
"30","1A",4187.72893010279,1.32068650772115,2009
"31","1A",4285.81807716189,1.48910926320695,2010
"32","1A",4334.66190524395,1.57297595346473,2011
"33","1A",4519.06524745639,1.88960342905585,2012
"34","1A",4546.12674510037,1.93606903852868,2013
"35","1A",4550.93900218045,1.94433186496599,2014
"36","S3",4855.95676436068,-0.879648895198048,1980
"37","S3",4834.49424882101,-0.898520115978617,1981
"38","S3",4862.81141947948,-0.873621842596387,1982
"39","S3",4672.25925754885,-1.04116752993026,1983
"40","S3",4651.69618966529,-1.05924789861953,1984
"41","S3",4570.71650152961,-1.13045043639873,1985
"42","S3",4579.94731868526,-1.12233410967052,1986
"43","S3",4624.05568529493,-1.08355120358372,1987
"44","S3",4694.89558728943,-1.02126421638778,1988
"45","S3",4875.58793349742,-0.862387911681209,1989
"46","S3",4923.32238748408,-0.820416716908759,1990
"47","S3",4953.61823950458,-0.793778659913175,1991
"48","S3",4893.30555889022,-0.846809438604418,1992
"49","S3",4996.82677625954,-0.755786941971209,1993
"50","S3",5083.40536872966,-0.679661488253785,1994
"51","S3",5192.43466433337,-0.583795935817275,1995
"52","S3",5317.63477083806,-0.473711968854789,1996
"53","S3",5432.96573954663,-0.372305581084742,1997
"54","S3",5552.47308506561,-0.267227054850477,1998
"55","S3",5749.42609444036,-0.094053331740584,1999
"56","S3",5943.01930214596,0.0761662381639085,2000
"57","S3",6023.25635640532,0.146715804588788,2001
"58","S3",6223.49626391626,0.322779579440129,2002
"59","S3",6570.16896819778,0.627596464907339,2003
"60","S3",6801.2630904507,0.830789245085703,2004
"61","S3",7021.16654189905,1.02414246945592,2005
"62","S3",7469.93778718367,1.41873094321074,2006
"63","S3",7655.55029893964,1.58193337316397,2007
"64","S3",7703.12985607327,1.62376837268445,2008
"65","S3",7356.46707825315,1.31896021519902,2009
"66","S3",7309.90644727689,1.27802112093435,2010
"67","S3",7332.75297777633,1.29810925647131,2011
"68","S3",7370.6460666529,1.33142729157888,2012
"69","S3",7415.60435039759,1.37095749934475,2013
"70","S3",7459.60239564906,1.40964340381477,2014
"71","Z4",2300.36991555215,-1.43379036970588,1980
"72","Z4",2369.29265595977,-1.37634822127007,1981
"73","Z4",2423.25946113769,-1.33137076948416,1982
"74","Z4",2478.43738653864,-1.28538393607451,1983
"75","Z4",2580.34074714345,-1.20045481208218,1984
"76","Z4",2700.07739883941,-1.10066292221754,1985
"77","Z4",2772.28281617888,-1.0404848985906,1986
"78","Z4",2878.31717309087,-0.952112886203796,1987
"79","Z4",3050.08498118556,-0.808956768633369,1988
